,Company Name,Job Title,Salary
3417,"MJ Softtech
4.0",Project Lead,₹874K - ₹947K
3418,"MJ Softtech
4.0",S S E(Senior Software Engineer),₹56K - ₹61K
3419,"Copal Partners
3.6",Associate,"₹ 8,03,395"
3420,"Copal Partners
3.6",Senior Associate,"₹ 11,55,196"
3421,"Copal Partners
3.6",Analyst,"₹ 4,78,433"
3422,"Copal Partners
3.6",Senior Analyst,"₹ 5,28,729"
3423,"Copal Partners
3.6",Junior Associate,"₹ 5,12,310"
3424,"TVS
3.7",Deputy Manager,"₹ 7,71,515"
3425,"TVS
3.7",Officer,"₹ 20,185/mo"
3426,"TVS
3.7",Officer,"₹ 3,27,546"
3427,"TVS
3.7",Service Engineer,"₹ 19,975/mo"
3428,"TVS
3.7",Assistant Manager,₹324K - ₹705K
3429,IFLEX,-1,-1
3430,"CIEL HR Services
4.5",Assistant Manager,"₹ 14,819/mo"
3431,"CIEL HR Services
4.5",Consultant,₹28K - ₹30K
3432,"CIEL HR Services
4.5",Human Resources Manager,₹16K - ₹17K
3433,"CIEL HR Services
4.5",Systems Administrator,₹578K - ₹626K
3434,"CIEL HR Services
4.5",General Manager,"₹1,432K - ₹1,550K"
3435,"Bookmyshow
3.6",Software Developer,"₹ 6,25,333"
3436,"Bookmyshow
3.6",Senior Software Engineer,"₹ 8,36,914"
3437,"Bookmyshow
3.6",Software Engineer,"₹ 6,27,696"
3438,"Bookmyshow
3.6",Software Developer,"₹ 42,893/mo"
3439,"Bookmyshow
3.6",Assistant Manager,"₹ 13,26,395"
3440,Substratal Solutions,-1,-1
3441,"Careerera
4.0",Developer,₹32K - ₹35K
3442,"upGrad Education Private Limited
3.5",Admissions Counselor,"₹ 6,85,000"
3443,"upGrad Education Private Limited
3.5",Content Strategist,"₹ 14,05,379"
3444,"upGrad Education Private Limited
3.5",Intern,"₹ 39,277/mo"
3445,"upGrad Education Private Limited
3.5",Admission Counselor,"₹ 5,98,221"
3446,"upGrad Education Private Limited
3.5",Senior Admissions Counselor,"₹ 8,91,867"
3447,"Syngene
3.5",Senior Research Associate,"₹ 4,50,050"
3448,"Syngene
3.5",Associate Scientist,"₹ 7,94,571"
3449,"Syngene
3.5",Research Associate,"₹ 3,41,557"
3450,"Syngene
3.5",Junior Manager,"₹ 7,93,794"
3451,"Syngene
3.5",Research Associate,"₹ 22,934/mo"
3452,ADCI - Karnataka,-1,-1
3453,"Novotech
4.5",Data Engineer,"₹1,150K - ₹1,248K"
3454,"Novotech
4.5",Talent Acquisition Specialist,₹891K - ₹970K
3455,"Novotech
4.5",Business Operations,₹768K - ₹835K
3456,"Novotech
4.5",Investigator Payment Specialist,₹705K - ₹763K
3457,"Novotech
4.5",ACDM,₹868K - ₹929K
3458,Futurious Technologies,-1,-1
3459,"B&B Analytics
5.0",-1,-1
3460,"Sampoorna Computer People
3.8",Software Developer,₹19K - ₹20K
3461,"Sampoorna Computer People
3.8",Test Engineer,₹132K - ₹141K
3462,"Sampoorna Computer People
3.8",Account Manager,₹10K - ₹10K
3463,"Sampoorna Computer People
3.8",Human Resources,₹20K - ₹22K
3464,"Sampoorna Computer People
3.8",Aircraft Maintenance Planner,₹14K - ₹15K
3465,"Mylan Inc.
3.8",Officer,"₹ 3,67,591"
3466,"Mylan Inc.
3.8",Deputy Manager,"₹ 13,40,189"
3467,"Mylan Inc.
3.8",Senior Associate,"₹ 6,33,296"
3468,"Mylan Inc.
3.8",Assistant Manager,"₹ 7,19,037"
3469,"Mylan Inc.
3.8",Team Leader,"₹ 12,96,145"
3470,"Graviton Research Capital LLP
5.0",Software Engineer,"₹ 28,27,953"
3471,"Graviton Research Capital LLP
5.0",Partner,"₹9,981K - ₹10,782K"
3472,"Graviton Research Capital LLP
5.0",Quantitative Researcher,"₹2,463K - ₹2,669K"
3473,"Zauba Corp
3.8",Data Engineer,₹557K - ₹602K
3474,"Zauba Corp
3.8",Software Engineer,"₹945K - ₹1,030K"
3475,"Zauba Corp
3.8",Internship,₹23K - ₹25K
3476,"Zauba Corp
3.8",SDE1,"₹991K - ₹1,063K"
3477,"Zauba Corp
3.8",Data Science,₹21K - ₹23K
3478,"Dolat Capital
4.0",Quantitative Researcher,₹101K - ₹111K
3479,"Dolat Capital
4.0",Quantitative Researcher,"₹1,224K - ₹1,325K"
3480,"Dolat Capital
4.0",Software Developer,"₹ 5,90,132"
3481,"Dolat Capital
4.0",Senior Software Engineer,"₹2,159K - ₹2,367K"
3482,"Dolat Capital
4.0",Business Analyst,₹834K - ₹909K
3483,ADCI - Karnataka,-1,-1
3484,"Knowledge Excel Services.
4.9",Operations Manager,"₹1,633K - ₹1,740K"
3485,"Knowledge Excel Services.
4.9",Technical Analyst,₹16K - ₹17K
3486,"Larsen & Toubro Infotech Limited
3.5",Software Engineer,"₹ 4,99,511"
3487,"Larsen & Toubro Infotech Limited
3.5",Senior Software Engineer,"₹ 8,35,494"
3488,"Larsen & Toubro Infotech Limited
3.5",Software Engineer,"₹ 30,057/mo"
3489,"Larsen & Toubro Infotech Limited
3.5",Project Lead,"₹ 12,91,294"
3490,"Larsen & Toubro Infotech Limited
3.5",Graduate Engineer Trainee,"₹ 3,63,502"
3491,"Zinnov
3.8",Associate Consultant,"₹ 7,17,423"
3492,"Zinnov
3.8",Consultant,"₹ 11,00,000"
3493,"Zinnov
3.8",Senior Consultant,"₹ 15,20,747"
3494,"Zinnov
3.8",Intern,"₹ 17,782/mo"
3495,"Zinnov
3.8",Analyst,"₹ 4,46,693"
3496,"Franklin Templeton Investments
3.8",Assistant Manager,"₹ 11,85,498"
3497,"Franklin Templeton Investments
3.8",Software Engineer,"₹ 11,70,916"
3498,"Franklin Templeton Investments
3.8",Business Analyst,"₹ 6,17,376"
3499,"Franklin Templeton Investments
3.8",Analyst,"₹ 3,73,557"
3500,"Franklin Templeton Investments
3.8",Associate Software Engineer,"₹ 8,13,812"
3501,"Exela Technologies
2.6",Software Engineer,"₹ 5,07,894"
3502,"Exela Technologies
2.6",Software Engineer,₹38K - ₹42K
3503,"Exela Technologies
2.6",Business Analyst,₹34K - ₹37K
3504,"Exela Technologies
2.6",Programmer Analyst,₹155K - ₹169K
3505,"Exela Technologies
2.6",Senior Manager,₹24K - ₹26K
3506,"LTI
3.5",Software Engineer,"₹ 4,99,511"
3507,"LTI
3.5",Senior Software Engineer,"₹ 8,35,494"
3508,"LTI
3.5",Software Engineer,"₹ 30,057/mo"
3509,"LTI
3.5",Project Lead,"₹ 12,91,294"
3510,"LTI
3.5",Graduate Engineer Trainee,"₹ 3,63,502"
3511,Tekolutions.ai,-1,-1
3512,SkillBit,-1,-1
3513,"Terra Economics & Analytics Lab (TEAL)
4.7",-1,-1
3514,"AstraZeneca
3.9",Consultant,"₹ 9,20,719"
3515,"AstraZeneca
3.9",Software Engineer,"₹ 6,72,739"
3516,"AstraZeneca
3.9",Senior Consultant,"₹ 11,50,367"
3517,"AstraZeneca
3.9",Senior Software Engineer,"₹ 10,06,385"
3518,"AstraZeneca
3.9",Engineer,"₹ 7,11,299"
3519,"MJ Softtech
4.0",IPC,₹56K - ₹60K
3520,"MJ Softtech
4.0",Project Lead,₹874K - ₹947K
3521,"MJ Softtech
4.0",S S E(Senior Software Engineer),₹56K - ₹61K
3522,"Copal Partners
3.6",Associate,"₹ 8,03,395"
3523,"Copal Partners
3.6",Senior Associate,"₹ 11,55,196"
3524,"Copal Partners
3.6",Analyst,"₹ 4,78,433"
3525,"Copal Partners
3.6",Senior Analyst,"₹ 5,28,729"
3526,"Copal Partners
3.6",Junior Associate,"₹ 5,12,310"
3527,"TVS
3.7",Deputy Manager,"₹ 7,71,515"
3528,"TVS
3.7",Officer,"₹ 20,185/mo"
3529,"TVS
3.7",Officer,"₹ 3,27,546"
3530,"TVS
3.7",Service Engineer,"₹ 19,975/mo"
3531,"TVS
3.7",Assistant Manager,₹324K - ₹705K
3532,IFLEX,-1,-1
3533,"CIEL HR Services
4.5",Assistant Manager,"₹ 14,819/mo"
3534,"CIEL HR Services
4.5",Consultant,₹28K - ₹30K
3535,"CIEL HR Services
4.5",Human Resources Manager,₹16K - ₹17K
3536,"CIEL HR Services
4.5",Systems Administrator,₹578K - ₹626K
3537,"CIEL HR Services
4.5",General Manager,"₹1,432K - ₹1,550K"
3538,"Bookmyshow
3.6",Software Developer,"₹ 6,25,333"
3539,"Bookmyshow
3.6",Senior Software Engineer,"₹ 8,36,914"
3540,"Bookmyshow
3.6",Software Engineer,"₹ 6,27,696"
3541,"Bookmyshow
3.6",Software Developer,"₹ 42,893/mo"
3542,"Bookmyshow
3.6",Assistant Manager,"₹ 13,26,395"
3543,Substratal Solutions,-1,-1
3544,"Careerera
4.0",Developer,₹32K - ₹35K
3545,"upGrad Education Private Limited
3.5",Admissions Counselor,"₹ 6,85,000"
3546,"upGrad Education Private Limited
3.5",Content Strategist,"₹ 14,05,379"
3547,"upGrad Education Private Limited
3.5",Intern,"₹ 39,277/mo"
3548,"upGrad Education Private Limited
3.5",Admission Counselor,"₹ 5,98,221"
3549,"upGrad Education Private Limited
3.5",Senior Admissions Counselor,"₹ 8,91,867"
3550,"Syngene
3.5",Senior Research Associate,"₹ 4,50,050"
3551,"Syngene
3.5",Associate Scientist,"₹ 7,94,571"
3552,"Syngene
3.5",Research Associate,"₹ 3,41,557"
3553,"Syngene
3.5",Junior Manager,"₹ 7,93,794"
3554,"Syngene
3.5",Research Associate,"₹ 22,934/mo"
3555,ADCI - Karnataka,-1,-1
3556,"Novotech
4.5",Data Engineer,"₹1,150K - ₹1,248K"
3557,"Novotech
4.5",Talent Acquisition Specialist,₹891K - ₹970K
3558,"Novotech
4.5",Business Operations,₹768K - ₹835K
3559,"Novotech
4.5",Investigator Payment Specialist,₹705K - ₹763K
3560,"Novotech
4.5",ACDM,₹868K - ₹929K
3561,Futurious Technologies,-1,-1
3562,"B&B Analytics
5.0",-1,-1
3563,"Sampoorna Computer People
3.8",Software Developer,₹19K - ₹20K
3564,"Sampoorna Computer People
3.8",Test Engineer,₹132K - ₹141K
3565,"Sampoorna Computer People
3.8",Account Manager,₹10K - ₹10K
3566,"Sampoorna Computer People
3.8",Human Resources,₹20K - ₹22K
3567,"Sampoorna Computer People
3.8",Aircraft Maintenance Planner,₹14K - ₹15K
3568,"Mylan Inc.
3.8",Officer,"₹ 3,67,591"
3569,"Mylan Inc.
3.8",Deputy Manager,"₹ 13,40,189"
3570,"Mylan Inc.
3.8",Senior Associate,"₹ 6,33,296"
3571,"Mylan Inc.
3.8",Assistant Manager,"₹ 7,19,037"
3572,"Mylan Inc.
3.8",Team Leader,"₹ 12,96,145"
3573,"Graviton Research Capital LLP
5.0",Software Engineer,"₹ 28,27,953"
3574,"Graviton Research Capital LLP
5.0",Partner,"₹9,981K - ₹10,782K"
3575,"Graviton Research Capital LLP
5.0",Quantitative Researcher,"₹2,463K - ₹2,669K"
3576,"Zauba Corp
3.8",Data Engineer,₹557K - ₹602K
3577,"Zauba Corp
3.8",Software Engineer,"₹945K - ₹1,030K"
3578,"Zauba Corp
3.8",Internship,₹23K - ₹25K
3579,"Zauba Corp
3.8",SDE1,"₹991K - ₹1,063K"
3580,"Zauba Corp
3.8",Data Science,₹21K - ₹23K
3581,"Dolat Capital
4.0",Quantitative Researcher,₹101K - ₹111K
3582,"Dolat Capital
4.0",Quantitative Researcher,"₹1,224K - ₹1,325K"
3583,"Dolat Capital
4.0",Software Developer,"₹ 5,90,132"
3584,"Dolat Capital
4.0",Senior Software Engineer,"₹2,159K - ₹2,367K"
3585,"Dolat Capital
4.0",Business Analyst,₹834K - ₹909K
3586,ADCI - Karnataka,-1,-1
3587,"Knowledge Excel Services.
4.9",Operations Manager,"₹1,633K - ₹1,740K"
3588,"Knowledge Excel Services.
4.9",Technical Analyst,₹16K - ₹17K
3589,"Larsen & Toubro Infotech Limited
3.5",Software Engineer,"₹ 4,99,511"
3590,"Larsen & Toubro Infotech Limited
3.5",Senior Software Engineer,"₹ 8,35,494"
3591,"Larsen & Toubro Infotech Limited
3.5",Software Engineer,"₹ 30,057/mo"
3592,"Larsen & Toubro Infotech Limited
3.5",Project Lead,"₹ 12,91,294"
3593,"Larsen & Toubro Infotech Limited
3.5",Graduate Engineer Trainee,"₹ 3,63,502"
3594,"Zinnov
3.8",Associate Consultant,"₹ 7,17,423"
3595,"Zinnov
3.8",Consultant,"₹ 11,00,000"
3596,"Zinnov
3.8",Senior Consultant,"₹ 15,20,747"
3597,"Zinnov
3.8",Intern,"₹ 17,782/mo"
3598,"Zinnov
3.8",Analyst,"₹ 4,46,693"
3599,"Franklin Templeton Investments
3.8",Assistant Manager,"₹ 11,85,498"
3600,"Franklin Templeton Investments
3.8",Software Engineer,"₹ 11,70,916"
3601,"Franklin Templeton Investments
3.8",Business Analyst,"₹ 6,17,376"
3602,"Franklin Templeton Investments
3.8",Analyst,"₹ 3,73,557"
3603,"Franklin Templeton Investments
3.8",Associate Software Engineer,"₹ 8,13,812"
3604,"Exela Technologies
2.6",Software Engineer,"₹ 5,07,894"
3605,"Exela Technologies
2.6",Software Engineer,₹38K - ₹42K
3606,"Exela Technologies
2.6",Business Analyst,₹34K - ₹37K
3607,"Exela Technologies
2.6",Programmer Analyst,₹155K - ₹169K
3608,"Exela Technologies
2.6",Senior Manager,₹24K - ₹26K
3609,"LTI
3.5",Software Engineer,"₹ 4,99,511"
3610,"LTI
3.5",Senior Software Engineer,"₹ 8,35,494"
3611,"LTI
3.5",Software Engineer,"₹ 30,057/mo"
3612,"LTI
3.5",Project Lead,"₹ 12,91,294"
3613,"LTI
3.5",Graduate Engineer Trainee,"₹ 3,63,502"
3614,Tekolutions.ai,-1,-1
3615,SkillBit,-1,-1
3616,"Terra Economics & Analytics Lab (TEAL)
4.7",-1,-1
3617,"AstraZeneca
3.9",Consultant,"₹ 9,20,719"
3618,"AstraZeneca
3.9",Software Engineer,"₹ 6,72,739"
3619,"AstraZeneca
3.9",Senior Consultant,"₹ 11,50,367"
3620,"AstraZeneca
3.9",Senior Software Engineer,"₹ 10,06,385"
3621,"AstraZeneca
3.9",Engineer,"₹ 7,11,299"
3622,"MJ Softtech
4.0",IPC,₹56K - ₹60K
3623,"MJ Softtech
4.0",Project Lead,₹874K - ₹947K
3624,"MJ Softtech
4.0",S S E(Senior Software Engineer),₹56K - ₹61K
3625,"Copal Partners
3.6",Associate,"₹ 8,03,395"
3626,"Copal Partners
3.6",Senior Associate,"₹ 11,55,196"
3627,"Copal Partners
3.6",Analyst,"₹ 4,78,433"
3628,"Copal Partners
3.6",Senior Analyst,"₹ 5,28,729"
3629,"Copal Partners
3.6",Junior Associate,"₹ 5,12,310"
3630,"TVS
3.7",Deputy Manager,"₹ 7,71,515"
3631,"TVS
3.7",Officer,"₹ 20,185/mo"
3632,"TVS
3.7",Officer,"₹ 3,27,546"
3633,"TVS
3.7",Service Engineer,"₹ 19,975/mo"
3634,"TVS
3.7",Assistant Manager,₹324K - ₹705K
3635,IFLEX,-1,-1
3636,"CIEL HR Services
4.5",Assistant Manager,"₹ 14,819/mo"
3637,"CIEL HR Services
4.5",Consultant,₹28K - ₹30K
3638,"CIEL HR Services
4.5",Human Resources Manager,₹16K - ₹17K
3639,"CIEL HR Services
4.5",Systems Administrator,₹578K - ₹626K
3640,"CIEL HR Services
4.5",General Manager,"₹1,432K - ₹1,550K"
3641,"Bookmyshow
3.6",Software Developer,"₹ 6,25,333"
3642,"Bookmyshow
3.6",Senior Software Engineer,"₹ 8,36,914"
3643,"Bookmyshow
3.6",Software Engineer,"₹ 6,27,696"
3644,"Bookmyshow
3.6",Software Developer,"₹ 42,893/mo"
3645,"Bookmyshow
3.6",Assistant Manager,"₹ 13,26,395"
3646,Substratal Solutions,-1,-1
3647,"Careerera
4.0",Developer,₹32K - ₹35K
3648,"upGrad Education Private Limited
3.5",Admissions Counselor,"₹ 6,85,000"
3649,"upGrad Education Private Limited
3.5",Content Strategist,"₹ 14,05,379"
3650,"upGrad Education Private Limited
3.5",Intern,"₹ 39,277/mo"
3651,"upGrad Education Private Limited
3.5",Admission Counselor,"₹ 5,98,221"
3652,"upGrad Education Private Limited
3.5",Senior Admissions Counselor,"₹ 8,91,867"
3653,"Syngene
3.5",Senior Research Associate,"₹ 4,50,050"
3654,"Syngene
3.5",Associate Scientist,"₹ 7,94,571"
3655,"Syngene
3.5",Research Associate,"₹ 3,41,557"
3656,"Syngene
3.5",Junior Manager,"₹ 7,93,794"
3657,"Syngene
3.5",Research Associate,"₹ 22,934/mo"
3658,ADCI - Karnataka,-1,-1
3659,"Novotech
4.5",Data Engineer,"₹1,150K - ₹1,248K"
3660,"Novotech
4.5",Talent Acquisition Specialist,₹891K - ₹970K
3661,"Novotech
4.5",Business Operations,₹768K - ₹835K
3662,"Novotech
4.5",Investigator Payment Specialist,₹705K - ₹763K
3663,"Novotech
4.5",ACDM,₹868K - ₹929K
3664,Futurious Technologies,-1,-1
3665,"B&B Analytics
5.0",-1,-1
3666,"Sampoorna Computer People
3.8",Software Developer,₹19K - ₹20K
3667,"Sampoorna Computer People
3.8",Test Engineer,₹132K - ₹141K
3668,"Sampoorna Computer People
3.8",Account Manager,₹10K - ₹10K
3669,"Sampoorna Computer People
3.8",Human Resources,₹20K - ₹22K
3670,"Sampoorna Computer People
3.8",Aircraft Maintenance Planner,₹14K - ₹15K
3671,"Mylan Inc.
3.8",Officer,"₹ 3,67,591"
3672,"Mylan Inc.
3.8",Deputy Manager,"₹ 13,40,189"
3673,"Mylan Inc.
3.8",Senior Associate,"₹ 6,33,296"
3674,"Mylan Inc.
3.8",Assistant Manager,"₹ 7,19,037"
3675,"Mylan Inc.
3.8",Team Leader,"₹ 12,96,145"
3676,"Graviton Research Capital LLP
5.0",Software Engineer,"₹ 28,27,953"
3677,"Graviton Research Capital LLP
5.0",Partner,"₹9,981K - ₹10,782K"
3678,"Graviton Research Capital LLP
5.0",Quantitative Researcher,"₹2,463K - ₹2,669K"
3679,"Zauba Corp
3.8",Data Engineer,₹557K - ₹602K
3680,"Zauba Corp
3.8",Software Engineer,"₹945K - ₹1,030K"
3681,"Zauba Corp
3.8",Internship,₹23K - ₹25K
3682,"Zauba Corp
3.8",SDE1,"₹991K - ₹1,063K"
3683,"Zauba Corp
3.8",Data Science,₹21K - ₹23K
3684,"Dolat Capital
4.0",Quantitative Researcher,₹101K - ₹111K
3685,"Dolat Capital
4.0",Quantitative Researcher,"₹1,224K - ₹1,325K"
3686,"Dolat Capital
4.0",Software Developer,"₹ 5,90,132"
3687,"Dolat Capital
4.0",Senior Software Engineer,"₹2,159K - ₹2,367K"
3688,"Dolat Capital
4.0",Business Analyst,₹834K - ₹909K
3689,ADCI - Karnataka,-1,-1
3690,"Knowledge Excel Services.
4.9",Operations Manager,"₹1,633K - ₹1,740K"
3691,"Knowledge Excel Services.
4.9",Technical Analyst,₹16K - ₹17K
3692,"Larsen & Toubro Infotech Limited
3.5",Software Engineer,"₹ 4,99,511"
3693,"Larsen & Toubro Infotech Limited
3.5",Senior Software Engineer,"₹ 8,35,494"
3694,"Larsen & Toubro Infotech Limited
3.5",Software Engineer,"₹ 30,057/mo"
3695,"Larsen & Toubro Infotech Limited
3.5",Project Lead,"₹ 12,91,294"
3696,"Larsen & Toubro Infotech Limited
3.5",Graduate Engineer Trainee,"₹ 3,63,502"
3697,"Zinnov
3.8",Associate Consultant,"₹ 7,17,423"
3698,"Zinnov
3.8",Consultant,"₹ 11,00,000"
3699,"Zinnov
3.8",Senior Consultant,"₹ 15,20,747"
